Type	Name	Purpose	When	Avoid
Workflow	refactor	Refactor Workflow	Use quando a tarefa for melhorar estrutura mantendo comportamento.	Evite quando a mudança altera requisito funcional ou precisa de redesign amplo.
Workflow	review	Review Workflow	Use quando a tarefa for avaliar diff, PR, código, query, config ou documentação antes de aceitar.	Evite quando não há artefato revisável ou quando a tarefa pede implementação.
Workflow	spec-driven-development	Spec-Driven Development	Use quando a tarefa for ambígua, cross-module, arquitetural, difícil de reverter ou tiver regra de negócio que o agent não deve inferir sem spec.	Evite em correções triviais, edições mecânicas ou tarefas já bem especificadas.
Profile	autonomous	Profile Autônomo	Use quando o agent pode investigar, editar, validar e corrigir problemas diretamente ligados à tarefa.	Evite quando você quer apenas análise, plano ou aprovação antes de mudanças.
Profile	deep	Profile Deep	Use quando a tarefa é ambígua, arriscada, arquitetural, cross-module ou exige validação mais ampla.	Evite quando a tarefa é pequena, reversível e bem especificada.
Profile	fast	Profile Fast	Use quando velocidade e menor mudança viável importam mais que exploração ampla.	Evite quando há risco alto, ambiguidade ou impacto em produção.
Profile	normal	Profile Normal	Use como padrão para trabalho diário com equilíbrio entre velocidade, contexto e validação.	Evite quando a tarefa exige resposta muito rápida ou análise profunda.
Profile	research	Profile Research	Use quando a tarefa depende de fontes, evidência, incerteza, comparação de claims ou decisão difícil de reverter.	Evite quando a tarefa é implementação direta, review simples ou correção determinística.
Rule	cloud	Regra De Cloud	Use como restrição durável para cloud/plataforma: least privilege, ambientes, produção, custo, tags/labels, ownership e billing attribution, sem prender o harness a um vendor.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
Rule	context-management	Regra De Gestão De Contexto	Use como restrição durável para evitar bloat de contexto: leituras direcionadas, progressive disclosure, revalidar fontes canônicas, resumir achados e evitar duplicação de instruções.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
Rule	data	Regra De Dados	Use como restrição durável para dados: não inventar, preservar contratos, idempotência, completude, frescor, lineage e ownership.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
Rule	git	Regra De Git	Use como restrição durável para Git: não commit/push sem pedido, não reescrever histórico, preservar mudanças do usuário e manter diffs escopados.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
Rule	llm	Regra De LLM	Use como restrição durável para LLMs: não inventar fatos, validar outputs, medir custo/latência e tratar chamadas como I/O não determinístico.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
Rule	mcp	Regra De MCP E Tools	Use como restrição durável para tools/MCP: preferir contexto local quando basta, usar ferramentas externas quando agregam correção/frescor e tratar outputs como evidência.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
Rule	python	Regra De Python	Use como restrição durável para Python: seguir formatter/linter/testes do projeto, interfaces claras, exceções úteis e separação testável de I/O/parsing/regra.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
Rule	safety	Regra De Segurança Operacional	Use como restrição durável para segurança geral: não hardcode secrets, não inventar fatos, não destruir sem aprovação e preservar mudanças do usuário.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
Rule	testing	Regra De Testes	Use como restrição durável para validação: rodar checks relevantes, adicionar regressão quando útil e declarar risco quando não validar.	Não ignore silenciosamente; documente exceções específicas do projeto em `.agents/overrides/`.
